case_id,prompt_index,prompt,exemplar,tools_in_scope
book_meeting,5,Book the next available Coffee Chat with cash0902@gmail.com,"Booked your Coffee Chat:
- Event type: **Coffee Chat**
- Invitee: **Michael Kimelblat** (cash0902@gmail.com)
- Date and time: Monday at 9:30 AM PT
- Location: Google Meet","users-get_current_user,event_types-list_event_types,event_types-list_event_type_available_times,meetings-create_invitee"
book_meeting,6,Get cash0902@gmail.com on my calendar for a Coffee Chat at the next open slot,"Booked your Coffee Chat:
- Event type: **Coffee Chat**
- Invitee: **Michael Kimelblat** (cash0902@gmail.com)
- Date and time: Monday at 9:30 AM PT
- Location: Google Meet","users-get_current_user,event_types-list_event_types,event_types-list_event_type_available_times,meetings-create_invitee"
book_meeting,7,Schedule a Coffee Chat with cash0902@gmail.com at the next available time,"Booked your Coffee Chat:
- Event type: **Coffee Chat**
- Invitee: **Michael Kimelblat** (cash0902@gmail.com)
- Date and time: Monday at 9:30 AM PT
- Location: Google Meet","users-get_current_user,event_types-list_event_types,event_types-list_event_type_available_times,meetings-create_invitee"
invite_team_member,1,Invite newhire@calendly.com to my Calendly team,Invitation sent to **newhire@calendly.com**. They'll receive an email and can accept it to join your Calendly team.,"organizations-list_organization_invitations,organizations-create_organization_invitation"
invite_team_member,2,Add newhire@calendly.com as a team member on Calendly,Invitation sent to **newhire@calendly.com**. They'll receive an email and can accept it to join your Calendly team.,"organizations-list_organization_invitations,organizations-create_organization_invitation"
invite_team_member,3,Send a Calendly team invite to newhire@calendly.com,Invitation sent to **newhire@calendly.com**. They'll receive an email and can accept it to join your Calendly team.,"organizations-list_organization_invitations,organizations-create_organization_invitation"
invite_team_member,4,invite newhire@calendly.com,Invitation sent to **newhire@calendly.com**. They'll receive an email and can accept it to join your Calendly team.,"organizations-list_organization_invitations,organizations-create_organization_invitation"
invite_team_member,5,I want newhire@calendly.com on my Calendly team,Invitation sent to **newhire@calendly.com**. They'll receive an email and can accept it to join your Calendly team.,"organizations-list_organization_invitations,organizations-create_organization_invitation"
invite_team_member,6,Get newhire@calendly.com onto our Calendly org,Invitation sent to **newhire@calendly.com**. They'll receive an email and can accept it to join your Calendly team.,"organizations-list_organization_invitations,organizations-create_organization_invitation"
invite_team_member,7,Add newhire@calendly.com to the Calendly team,Invitation sent to **newhire@calendly.com**. They'll receive an email and can accept it to join your Calendly team.,"organizations-list_organization_invitations,organizations-create_organization_invitation"
list_routing_form_submissions,1,Show me submissions to my first routing form,"Your **test** routing form has no submissions yet. Once invitees submit the form, their responses will appear here.","routing_forms-list_routing_forms,routing_forms-list_routing_form_submissions"
list_routing_form_submissions,2,List submissions on my routing form,"Your **test** routing form has no submissions yet. Once invitees submit the form, their responses will appear here.","routing_forms-list_routing_forms,routing_forms-list_routing_form_submissions"
list_routing_form_submissions,3,"What submissions do I have on my ""test"" routing form?","Your **test** routing form has no submissions yet. Once invitees submit the form, their responses will appear here.","routing_forms-list_routing_forms,routing_forms-list_routing_form_submissions"
list_routing_form_submissions,4,show me my routing form responses,"Your **test** routing form has no submissions yet. Once invitees submit the form, their responses will appear here.","routing_forms-list_routing_forms,routing_forms-list_routing_form_submissions"
list_routing_form_submissions,5,Pull up the submissions for my routing form,"Your **test** routing form has no submissions yet. Once invitees submit the form, their responses will appear here.","routing_forms-list_routing_forms,routing_forms-list_routing_form_submissions"
list_routing_form_submissions,6,Who's submitted my routing form?,"Your **test** routing form has no submissions yet. Once invitees submit the form, their responses will appear here.","routing_forms-list_routing_forms,routing_forms-list_routing_form_submissions"
list_routing_form_submissions,7,List recent submissions to my routing form,"Your **test** routing form has no submissions yet. Once invitees submit the form, their responses will appear here.","routing_forms-list_routing_forms,routing_forms-list_routing_form_submissions"
list_availability_schedules,1,Show me my availability schedules,"Here are your availability schedules:
- **Working hours** (default)
- **test**
- **another**",availability-list_user_availability_schedules
list_availability_schedules,2,List my Calendly availability schedules,"Here are your availability schedules:
- **Working hours** (default)
- **test**
- **another**",availability-list_user_availability_schedules
list_availability_schedules,3,What named availability schedules do I have?,"Here are your availability schedules:
- **Working hours** (default)
- **test**
- **another**",availability-list_user_availability_schedules
list_availability_schedules,4,show my availability schedules,"Here are your availability schedules:
- **Working hours** (default)
- **test**
- **another**",availability-list_user_availability_schedules
list_availability_schedules,5,Pull up my availability schedules,"Here are your availability schedules:
- **Working hours** (default)
- **test**
- **another**",availability-list_user_availability_schedules
list_availability_schedules,6,What schedules am I using on Calendly?,"Here are your availability schedules:
- **Working hours** (default)
- **test**
- **another**",availability-list_user_availability_schedules
list_availability_schedules,7,List the availability rule sets I've set up,"Here are your availability schedules:
- **Working hours** (default)
- **test**
- **another**",availability-list_user_availability_schedules
mark_no_show,1,Mark Michael (cash0902@gmail.com) as a no-show for the 9am Coffee Chat today,Marked **Michael Kimelblat** (cash0902@gmail.com) as a no-show for the 9:00 AM Coffee Chat today. The no-show is now on record for that meeting.,"meetings-list_events,meetings-list_event_invitees,meetings-create_invitee_no_show"
mark_no_show,2,Flag cash0902@gmail.com as a no-show for the 9am Coffee Chat today,Marked **Michael Kimelblat** (cash0902@gmail.com) as a no-show for the 9:00 AM Coffee Chat today. The no-show is now on record for that meeting.,"meetings-list_events,meetings-list_event_invitees,meetings-create_invitee_no_show"
mark_no_show,3,cash0902 didn't show up to my 9am coffee chat — mark them as a no-show,Marked **Michael Kimelblat** (cash0902@gmail.com) as a no-show for the 9:00 AM Coffee Chat today. The no-show is now on record for that meeting.,"meetings-list_events,meetings-list_event_invitees,meetings-create_invitee_no_show"
mark_no_show,4,Tag today's 9am Coffee Chat with cash0902 as a no-show,Marked **Michael Kimelblat** (cash0902@gmail.com) as a no-show for the 9:00 AM Coffee Chat today. The no-show is now on record for that meeting.,"meetings-list_events,meetings-list_event_invitees,meetings-create_invitee_no_show"
mark_no_show,5,Mark the 9am Coffee Chat with Michael as no-show,Marked **Michael Kimelblat** (cash0902@gmail.com) as a no-show for the 9:00 AM Coffee Chat today. The no-show is now on record for that meeting.,"meetings-list_events,meetings-list_event_invitees,meetings-create_invitee_no_show"
mark_no_show,6,Record cash0902@gmail.com as not having attended the 9am Coffee Chat today,Marked **Michael Kimelblat** (cash0902@gmail.com) as a no-show for the 9:00 AM Coffee Chat today. The no-show is now on record for that meeting.,"meetings-list_events,meetings-list_event_invitees,meetings-create_invitee_no_show"
mark_no_show,7,cash0902 was a no-show for the 9am coffee chat — mark it,Marked **Michael Kimelblat** (cash0902@gmail.com) as a no-show for the 9:00 AM Coffee Chat today. The no-show is now on record for that meeting.,"meetings-list_events,meetings-list_event_invitees,meetings-create_invitee_no_show"
